"","A5","A6","DD1","DD8","EE6","MS2","SH7"
"X1",1,NA,NA,NA,NA,NA,NA
"X2",NA,2,NA,NA,NA,NA,NA
"X3",NA,NA,3,NA,NA,NA,NA
"X4",NA,NA,NA,4,NA,NA,NA
"X5",NA,NA,NA,NA,5,NA,NA
"X6",NA,NA,NA,NA,NA,6,NA
"X7",NA,NA,NA,NA,NA,NA,7
"X8",NA,NA,NA,NA,NA,6,7
"X9",1,2,NA,NA,NA,NA,NA
"X10",1,NA,3,NA,NA,NA,NA
"X11",1,NA,NA,4,NA,NA,NA
"X12",1,NA,NA,NA,5,NA,NA
"X13",1,NA,NA,NA,NA,6,NA
"X14",1,NA,NA,NA,NA,NA,7
"X15",NA,NA,NA,NA,5,6,NA
"X16",NA,NA,NA,NA,5,NA,7
"X17",NA,2,3,NA,NA,NA,NA
"X18",NA,2,NA,4,NA,NA,NA
"X19",NA,2,NA,NA,5,NA,NA
"X20",NA,2,NA,NA,NA,6,NA
"X21",NA,2,NA,NA,NA,NA,7
"X22",NA,NA,NA,4,5,NA,NA
"X23",NA,NA,NA,4,NA,6,NA
"X24",NA,NA,NA,4,NA,NA,7
"X25",NA,NA,3,4,NA,NA,NA
"X26",NA,NA,3,NA,5,NA,NA
"X27",NA,NA,3,NA,NA,6,NA
"X28",NA,NA,3,NA,NA,NA,7
"X29",NA,NA,NA,NA,5,6,7
"X30",NA,NA,3,4,NA,NA,7
"X31",1,2,3,NA,NA,NA,NA
"X32",1,2,NA,4,NA,NA,NA
"X33",1,2,NA,NA,5,NA,NA
"X34",1,2,NA,NA,NA,6,NA
"X35",1,2,NA,NA,NA,NA,7
"X36",NA,NA,3,4,NA,6,NA
"X37",NA,NA,3,NA,5,NA,7
"X38",NA,2,3,NA,NA,NA,7
"X39",1,NA,3,4,NA,NA,NA
"X40",1,NA,3,NA,5,NA,NA
"X41",1,NA,3,NA,NA,6,NA
"X42",1,NA,3,NA,NA,NA,7
"X43",NA,NA,3,NA,5,6,NA
"X44",NA,NA,3,NA,NA,6,7
"X45",NA,2,NA,4,NA,NA,7
"X46",NA,2,3,NA,NA,6,NA
"X47",1,NA,NA,4,5,NA,NA
"X48",1,NA,NA,4,NA,6,NA
"X49",1,NA,NA,4,NA,NA,7
"X50",NA,NA,3,4,5,NA,NA
"X51",NA,NA,NA,4,5,NA,7
"X52",NA,2,NA,NA,5,NA,7
"X53",NA,2,NA,4,NA,6,NA
"X54",NA,2,3,NA,5,NA,NA
"X55",1,NA,NA,NA,5,6,NA
"X56",1,NA,NA,NA,5,NA,7
"X57",NA,NA,NA,4,5,6,NA
"X58",NA,NA,NA,4,NA,6,7
"X59",NA,2,NA,NA,NA,6,7
"X60",NA,2,NA,NA,5,6,NA
"X61",NA,2,NA,4,5,NA,NA
"X62",NA,2,3,4,NA,NA,NA
"X63",1,NA,NA,NA,NA,6,7
"X93",1,2,3,4,NA,NA,NA
"X94",1,2,3,NA,5,NA,NA
"X95",1,2,3,NA,NA,6,NA
"X96",1,2,3,NA,NA,NA,7
"X97",1,NA,3,4,5,NA,NA
"X98",1,NA,3,4,NA,6,NA
"X99",1,NA,3,4,NA,NA,7
"X100",1,NA,NA,NA,5,6,7
"X101",1,2,NA,4,5,NA,NA
"X102",1,2,NA,4,NA,6,NA
"X103",1,2,NA,4,NA,NA,7
"X104",1,NA,NA,4,NA,6,7
"X105",1,NA,3,NA,5,6,NA
"X106",1,NA,3,NA,5,NA,7
"X107",NA,2,NA,4,5,6,NA
"X108",NA,2,NA,4,5,NA,7
"X109",1,2,NA,NA,5,6,NA
"X110",1,2,NA,NA,5,NA,7
"X111",1,NA,NA,4,5,6,NA
"X112",1,NA,NA,4,5,NA,7
"X113",1,NA,3,NA,NA,6,7
"X114",NA,NA,3,4,5,6,NA
"X115",NA,NA,3,4,5,NA,7
"X116",NA,2,NA,4,NA,6,7
"X117",1,2,NA,NA,NA,6,7
"X118",NA,2,3,4,5,NA,NA
"X119",NA,2,3,4,NA,6,NA
"X120",NA,2,3,4,NA,NA,7
"X121",NA,NA,3,NA,5,6,7
"X122",NA,NA,NA,4,5,6,7
"X123",NA,2,NA,NA,5,6,7
"X124",NA,2,3,NA,NA,6,7
"X125",NA,NA,3,4,NA,6,7
"X126",NA,2,3,NA,5,6,NA
"X127",NA,2,3,NA,5,NA,7
"X72",1,2,3,4,5,NA,NA
"X73",1,2,3,4,NA,6,NA
"X74",1,2,3,4,NA,NA,7
"X75",1,2,3,NA,5,6,NA
"X76",1,2,3,NA,5,NA,7
"X77",1,2,3,NA,NA,6,7
"X78",1,2,NA,4,5,6,NA
"X79",1,2,NA,4,5,NA,7
"X80",1,2,NA,4,NA,6,7
"X81",1,2,NA,NA,5,6,7
"X82",1,NA,3,4,5,6,NA
"X83",1,NA,3,4,5,NA,7
"X84",1,NA,3,4,NA,6,7
"X85",1,NA,3,NA,5,6,7
"X86",1,NA,NA,4,5,6,7
"X87",NA,2,3,4,5,6,NA
"X88",NA,2,3,4,5,NA,7
"X89",NA,2,3,4,NA,6,7
"X90",NA,2,3,NA,5,6,7
"X91",NA,2,NA,4,5,6,7
"X92",NA,NA,3,4,5,6,7
"X64",1,2,3,4,5,6,NA
"X65",1,2,3,4,5,NA,7
"X66",1,2,3,4,NA,6,7
"X67",1,2,3,NA,5,6,7
"X68",1,2,NA,4,5,6,7
"X69",1,NA,3,4,5,6,7
"X70",NA,2,3,4,5,6,7
"X71",1,2,3,4,5,6,7
